Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,83.099998,83.410004,82.379997,82.639999,74.609650,3781400
2017-06-22,82.839996,84.760002,82.839996,84.309998,76.117371,4891600
2017-06-23,84.120003,84.339996,83.709999,83.889999,75.738167,3928000
2017-06-26,84.089996,84.449997,83.660004,84.279999,76.090286,2952800
2017-06-27,84.180000,84.330002,83.040001,83.040001,74.970772,2365800
2017-06-28,83.449997,83.919998,82.900002,83.099998,75.024956,3035300
2017-06-29,83.089996,83.220001,82.309998,82.699997,74.663803,2366800
2017-06-30,82.970001,83.129997,82.000000,82.300003,74.302681,5713900
2017-07-03,82.410004,82.910004,82.320000,82.699997,74.663803,1464700
2017-07-05,82.629997,82.760002,82.029999,82.699997,74.663803,2263600
2017-07-06,82.320000,82.570000,81.370003,81.599998,73.670708,3391000
2017-07-07,81.620003,82.349998,81.430000,82.290001,74.293655,1803700
2017-07-10,82.330002,82.570000,81.889999,82.279999,74.284630,2269700
2017-07-11,82.389999,82.839996,81.879997,82.349998,74.347824,2708900
2017-07-12,82.730003,84.019997,82.610001,83.500000,75.386078,3527000
2017-07-13,83.559998,84.230003,83.160004,84.019997,75.855545,2944100
2017-07-14,84.110001,84.580002,83.809998,84.349998,76.153488,2005700
2017-07-17,84.309998,84.529999,83.419998,83.639999,75.512459,1989100
2017-07-18,83.510002,83.769997,83.220001,83.699997,75.566635,1704500
2017-07-19,83.519997,84.279999,83.519997,84.230003,76.045135,2297400
2017-07-20,84.529999,85.120003,84.410004,84.750000,76.514595,2980600
2017-07-21,84.620003,84.959999,84.309998,84.660004,76.433357,3064400
2017-07-24,84.660004,85.529999,84.510002,84.739998,76.505592,3952200
2017-07-25,83.739998,84.400002,80.769997,82.190002,74.203377,13319900
2017-07-26,81.570000,81.879997,81.040001,81.839996,73.887367,7030500
2017-07-27,81.760002,83.050003,81.459999,83.019997,74.952705,5577400
2017-07-28,82.870003,83.220001,82.500000,83.099998,75.024956,3820100
2017-07-31,83.339996,83.760002,82.629997,82.660004,74.627693,4083000
2017-08-01,82.860001,83.150002,82.120003,82.370003,74.365868,3439400
2017-08-02,82.059998,82.169998,81.070000,81.820000,73.869324,4574400
2017-08-03,81.580002,82.279999,81.500000,81.930000,73.968628,3688300
2017-08-04,81.900002,82.320000,81.760002,82.309998,74.311707,2802600
2017-08-07,82.309998,82.400002,81.720001,82.070000,74.095024,2769700
2017-08-08,81.870003,82.720001,81.629997,81.970001,74.004730,3292600
2017-08-09,82.129997,82.739998,81.970001,82.570000,74.546448,2392100
2017-08-10,82.540001,82.540001,81.660004,82.050003,74.076988,3367500
2017-08-11,81.800003,81.970001,81.120003,81.150002,73.731728,2446400
2017-08-14,81.339996,81.680000,81.180000,81.489998,74.040634,1879600
2017-08-15,81.500000,82.339996,81.500000,81.709999,74.240524,1949500
2017-08-16,82.139999,82.199997,80.019997,80.690002,73.313751,3970500
2017-08-17,80.400002,80.570000,77.699997,77.800003,70.687950,7318200
2017-08-18,77.699997,77.699997,76.940002,77.070000,70.024681,4061300
2017-08-21,77.120003,77.639999,76.889999,77.379997,70.306335,3638100
2017-08-22,77.529999,78.650002,77.529999,78.260002,71.105881,2131900
2017-08-23,78.199997,78.519997,78.050003,78.150002,71.005951,1801500
2017-08-24,78.330002,79.239998,78.260002,78.860001,71.651054,4188400
2017-08-25,78.959999,79.529999,78.739998,78.790001,71.587456,2171500
2017-08-28,79.099998,79.430000,78.629997,78.839996,71.632866,1923200
2017-08-29,78.540001,78.839996,78.120003,78.550003,71.369415,2154300
2017-08-30,79.099998,80.769997,78.750000,80.489998,73.132050,5036900
2017-08-31,80.769997,81.349998,80.339996,81.290001,73.858910,3939500
2017-09-01,81.540001,81.709999,79.430000,80.080002,72.759537,4345000
2017-09-05,79.470001,80.050003,79.050003,79.820000,72.523293,3384000
2017-09-06,80.209999,80.669998,79.860001,80.510002,73.150223,2689200
2017-09-07,80.620003,82.750000,80.370003,81.540001,74.086060,6249300
2017-09-08,81.610001,83.120003,81.540001,82.919998,75.339905,3961300
2017-09-11,82.940002,83.349998,81.769997,82.629997,75.076424,4389200
2017-09-12,82.599998,82.730003,81.930000,82.169998,74.658478,2566400
2017-09-13,81.959999,82.580002,81.879997,82.430000,74.894707,2454900
2017-09-14,82.330002,83.989998,82.120003,83.070000,75.476189,3370300
2017-09-15,83.300003,83.570000,82.180000,82.440002,74.903793,5374500
2017-09-18,82.550003,82.669998,82.070000,82.519997,74.976463,2200000
2017-09-19,82.639999,82.839996,81.550003,81.730003,74.258705,2259200
2017-09-20,82.059998,82.419998,81.389999,82.019997,74.522179,2849900
2017-09-21,82.010002,83.699997,81.879997,83.330002,75.712440,4426700
2017-09-22,83.339996,84.029999,82.739998,83.910004,76.239410,3148700
2017-09-25,83.870003,84.650002,83.800003,84.639999,76.902664,4223800
2017-09-26,84.430000,85.129997,84.010002,84.220001,76.521072,2347200
2017-09-27,84.339996,84.800003,83.970001,84.650002,76.911766,3085200
2017-09-28,84.589996,85.580002,84.150002,85.000000,77.229782,2841000
2017-09-29,85.169998,85.610001,84.389999,85.540001,77.720421,3506100
2017-10-02,85.779999,86.680000,85.739998,86.349998,78.456352,3071100
2017-10-03,86.239998,86.559998,85.930000,86.449997,78.547211,2128800
2017-10-04,86.500000,87.160004,86.279999,86.959999,79.010590,2317700
2017-10-05,86.769997,89.089996,86.389999,87.650002,79.637505,5221000
2017-10-06,87.309998,87.489998,86.639999,87.080002,79.119621,2297200
2017-10-09,87.139999,87.279999,86.459999,87.050003,79.092354,1701400
2017-10-10,85.379997,86.699997,85.250000,86.160004,78.283714,4943700
2017-10-11,86.349998,86.660004,85.449997,86.059998,78.192863,3433200
2017-10-12,86.099998,86.449997,85.910004,86.430000,78.529060,1941100
2017-10-13,86.400002,86.699997,85.709999,86.550003,78.638077,3026500
2017-10-16,86.480003,86.739998,85.779999,85.949997,78.092918,3800700
2017-10-17,85.940002,86.500000,85.419998,86.059998,78.192863,3643700
2017-10-18,86.330002,86.559998,85.519997,85.730003,77.893044,4002200
2017-10-19,85.690002,86.379997,85.510002,86.360001,78.465446,3233400
2017-10-20,86.519997,87.379997,86.330002,87.230003,79.255913,3223200
2017-10-23,87.470001,88.190002,87.120003,87.180000,79.210472,4909800
2017-10-24,87.419998,88.330002,83.750000,85.169998,77.384232,8696100
2017-10-25,85.910004,86.370003,84.680000,84.849998,77.093483,3916000
2017-10-26,84.669998,85.110001,83.830002,84.160004,76.466568,3820700
2017-10-27,84.070000,84.809998,83.589996,83.860001,76.193993,2892900
2017-10-30,83.760002,83.760002,82.430000,82.650002,75.094604,4667200
2017-10-31,82.760002,83.099998,81.720001,81.940002,74.449493,3853300
2017-11-01,82.169998,83.820000,82.000000,82.889999,75.312637,3309300
2017-11-02,82.550003,83.919998,82.309998,83.129997,75.530708,2716100
2017-11-03,82.709999,83.589996,82.660004,83.510002,75.875984,1534800
2017-11-06,83.290001,83.430000,82.919998,82.940002,75.358086,1861700
2017-11-07,83.040001,83.419998,82.769997,83.279999,75.667000,2851900
2017-11-08,83.000000,84.389999,83.000000,84.010002,76.330276,2328700
2017-11-09,83.820000,84.260002,83.629997,83.989998,76.312096,2098600
2017-11-10,83.669998,83.870003,82.570000,83.290001,75.676079,2692500
2017-11-13,83.330002,83.330002,82.529999,82.860001,75.285393,2478700
2017-11-14,82.690002,83.110001,82.209999,82.489998,75.422546,2684800
2017-11-15,82.510002,83.139999,81.419998,82.190002,75.148239,1838100
2017-11-16,82.410004,83.629997,81.839996,83.440002,76.291153,2599700
2017-11-17,83.000000,83.480003,82.800003,82.889999,75.788261,4097800
2017-11-20,83.089996,83.320000,82.820000,83.180000,76.053436,2205900
2017-11-21,83.650002,84.529999,83.370003,83.510002,76.355171,3529900
2017-11-22,83.669998,84.260002,83.480003,83.680000,76.510582,2230900
2017-11-24,83.870003,84.169998,83.580002,84.029999,76.830597,817600
2017-11-27,84.150002,85.250000,84.029999,84.809998,77.543770,2980900
2017-11-28,85.070000,85.360001,84.739998,85.050003,77.763214,2659400
2017-11-29,84.790001,85.239998,84.449997,84.959999,77.680916,2316000
2017-11-30,85.250000,85.480003,84.320000,84.639999,77.388321,5002100
2017-12-01,84.980003,85.410004,84.180000,85.320000,78.010078,2736300
2017-12-04,85.489998,86.779999,85.360001,85.580002,78.247795,4228300
2017-12-05,85.589996,86.580002,85.209999,86.059998,78.686661,3876800
2017-12-06,86.040001,86.389999,84.529999,85.320000,78.010078,3130900
2017-12-07,85.209999,85.870003,84.650002,85.870003,78.512962,4344900
2017-12-08,85.660004,86.459999,85.470001,86.449997,79.043266,3777100
2017-12-11,86.610001,86.839996,86.070000,86.669998,79.244423,3336800
2017-12-12,86.489998,86.900002,85.989998,86.709999,79.280975,4252500
2017-12-13,86.410004,89.089996,86.339996,87.889999,80.359879,5786800
2017-12-14,88.220001,88.330002,86.120003,86.500000,79.088982,4388400
2017-12-15,86.889999,87.610001,86.269997,86.540001,79.125549,7346400
2017-12-18,86.760002,87.449997,85.989998,86.080002,78.704987,3796000
2017-12-19,86.040001,86.769997,85.849998,86.709999,79.280975,4027600
2017-12-20,86.680000,86.940002,85.639999,85.739998,78.394089,3016900
2017-12-21,86.029999,86.180000,85.440002,85.610001,78.275230,2024300
2017-12-22,85.599998,85.779999,84.750000,85.070000,77.781494,1834800
2017-12-26,85.290001,85.430000,84.959999,84.989998,77.708359,1099900
2017-12-27,85.190002,85.459999,84.980003,85.139999,77.845497,1332800
2017-12-28,85.300003,85.440002,84.889999,85.050003,77.763214,1731700
2017-12-29,85.120003,85.440002,84.459999,84.459999,77.223778,2563800
2018-01-02,84.459999,85.000000,84.059998,84.680000,77.424904,3456700
2018-01-03,84.739998,85.419998,84.269997,85.139999,77.845497,3078400
2018-01-04,85.279999,85.800003,84.739998,85.519997,78.192940,2462500
2018-01-05,86.089996,86.750000,85.930000,86.570000,79.152977,2946300
2018-01-08,86.690002,86.709999,85.400002,86.129997,78.750671,3251400
2018-01-09,86.199997,86.419998,85.739998,86.059998,78.686661,2426000
2018-01-10,85.610001,86.169998,85.489998,86.099998,78.723251,1674600
2018-01-11,86.169998,86.589996,85.870003,86.389999,78.988403,2647500
2018-01-12,86.519997,87.410004,86.029999,86.980003,79.527870,2728900
2018-01-16,85.930000,86.589996,85.150002,85.290001,77.982651,4878300
2018-01-17,85.800003,86.360001,85.470001,86.209999,78.823822,4083300
2018-01-18,86.040001,86.139999,85.269997,85.820000,78.467247,4445800
2018-01-19,86.169998,86.279999,85.320000,85.489998,78.165512,5826900
2018-01-22,83.250000,85.570000,82.400002,85.440002,78.119804,6374000
2018-01-23,85.180000,85.919998,84.239998,84.419998,77.187187,5728100
2018-01-24,84.860001,85.160004,84.279999,84.300003,77.077469,5977700
2018-01-25,84.809998,85.400002,84.559998,85.010002,77.726639,5201600
2018-01-26,84.760002,87.470001,84.760002,87.080002,79.619286,6394100
2018-01-29,86.769997,88.330002,86.650002,87.599998,80.094719,5324500
2018-01-30,86.639999,86.940002,85.209999,86.089996,78.714104,5388400
2018-01-31,86.500000,86.730003,81.269997,81.449997,74.471664,10558500
2018-02-01,81.540001,82.870003,81.290001,82.410004,75.349388,8410700
2018-02-02,81.879997,83.029999,81.120003,81.180000,74.224770,5152500
2018-02-05,80.889999,81.610001,76.550003,77.489998,70.850929,8145200
2018-02-06,76.559998,79.110001,75.709999,77.989998,71.308090,10558800
2018-02-07,77.760002,78.559998,76.709999,76.720001,70.146912,8240300
2018-02-08,77.190002,77.650002,74.190002,74.209999,67.851944,8059600
2018-02-09,75.059998,76.820000,73.690002,76.230003,69.698883,8939700
2018-02-12,76.680000,77.099998,75.199997,76.250000,69.717171,6454200
2018-02-13,76.019997,76.589996,75.750000,76.209999,69.680588,4041200
2018-02-14,75.410004,77.190002,75.339996,77.029999,70.954506,4361100
2018-02-15,77.750000,78.150002,77.029999,78.019997,71.866432,4810700
2018-02-16,77.949997,79.650002,77.910004,78.970001,72.741501,4699600
2018-02-20,78.180000,78.699997,77.180000,77.550003,71.433510,3195000
2018-02-21,77.589996,78.750000,77.550003,77.550003,71.433510,3871100
2018-02-22,77.190002,78.089996,76.519997,77.190002,71.101875,7687400
2018-02-23,77.730003,78.860001,77.639999,78.750000,72.538841,5170300
2018-02-26,78.989998,80.470001,78.970001,80.180000,73.856071,6015900
2018-02-27,80.150002,80.209999,78.690002,78.699997,72.492790,4860400
2018-02-28,78.779999,79.180000,77.010002,77.019997,70.945297,6123400
2018-03-01,77.059998,77.370003,75.529999,76.500000,70.466324,6258400
2018-03-02,76.379997,77.599998,76.320000,77.230003,71.138733,3216700
2018-03-05,76.900002,78.080002,76.709999,77.699997,71.571655,3816600
2018-03-06,77.860001,78.000000,76.879997,77.190002,71.101875,2962700
2018-03-07,76.580002,77.610001,76.540001,77.440002,71.332191,2266500
2018-03-08,77.650002,79.019997,77.470001,78.889999,72.667793,3497200
2018-03-09,79.279999,79.959999,78.879997,79.610001,73.331024,4399500
2018-03-12,79.830002,79.970001,78.610001,79.040001,72.805977,5059600
2018-03-13,79.080002,79.870003,78.769997,79.150002,72.907303,4863200
2018-03-14,79.389999,79.559998,78.019997,78.489998,72.299355,3167900
2018-03-15,78.580002,79.860001,78.459999,78.750000,72.538841,3910100
2018-03-16,79.199997,80.489998,79.120003,80.489998,74.141609,8326300
2018-03-19,80.120003,80.199997,78.160004,78.730003,72.520424,5117000
2018-03-20,79.040001,79.199997,77.849998,78.370003,72.188835,3943800
2018-03-21,78.459999,79.000000,78.029999,78.239998,72.069061,4052000
2018-03-22,77.559998,78.010002,76.410004,76.529999,70.493950,3816900
2018-03-23,76.769997,76.800003,74.510002,74.760002,68.863556,4298100
2018-03-26,75.610001,76.230003,74.650002,76.180000,70.171547,3488700
2018-03-27,76.089996,76.599998,75.139999,75.660004,69.692558,4070600
2018-03-28,76.059998,77.660004,76.040001,77.010002,70.936089,4257500
2018-03-29,77.459999,77.800003,76.610001,77.370003,71.267693,3424000
2018-04-02,76.879997,77.309998,75.400002,75.699997,69.729408,6282600
2018-04-03,76.250000,77.599998,75.860001,77.540001,71.424286,3610600
2018-04-04,76.820000,78.820000,76.709999,78.599998,72.400696,3022200
2018-04-05,78.519997,78.849998,78.089996,78.620003,72.419121,2213100
2018-04-06,78.180000,78.250000,76.300003,76.849998,70.788712,4012800
2018-04-09,77.269997,78.349998,76.330002,77.339996,71.240044,5377500
2018-04-10,78.089996,79.680000,78.070000,79.220001,72.971771,3657200
2018-04-11,78.349998,78.900002,78.120003,78.730003,72.520424,2830000
2018-04-12,79.190002,79.680000,78.809998,79.290001,73.036255,2121100
2018-04-13,79.879997,80.449997,79.239998,79.720001,73.432350,2652400
2018-04-16,80.459999,80.750000,79.669998,80.120003,73.800789,2743000
2018-04-17,80.570000,80.639999,79.489998,79.919998,73.616570,3782400
2018-04-18,79.959999,80.239998,79.589996,79.720001,73.432350,4261000
2018-04-19,78.959999,79.750000,78.550003,79.750000,73.459984,4989400
2018-04-20,79.639999,79.910004,78.820000,79.059998,72.824402,5424100
2018-04-23,79.430000,80.290001,79.169998,80.199997,73.874481,4015900
2018-04-24,81.169998,81.500000,78.919998,80.089996,73.773155,6394900
2018-04-25,80.269997,82.320000,80.010002,81.139999,74.740341,5379000
2018-04-26,81.419998,83.559998,81.419998,82.550003,76.039146,5058700
2018-04-27,82.500000,83.239998,82.379997,82.730003,76.204933,3209600
